Provinsi,Tahun,IPM
Aceh,2023,74.7
Aceh,2022,74.11
Aceh,2021,73.48
Aceh,2020,73.29
Bali,2023,78.01
Bali,2022,77.4
Bali,2021,76.69
Bali,2020,76.52
Banten,2023,75.77
Banten,2022,75.25
Banten,2021,74.68
Banten,2020,74.41
Bengkulu,2023,74.3
Bengkulu,2022,73.68
Bengkulu,2021,73.16
Bengkulu,2020,72.93
DI Yogyakarta,2023,81.09
DI Yogyakarta,2022,80.65
DI Yogyakarta,2021,80.22
DI Yogyakarta,2020,79.95
DKI Jakarta,2023,83.55
DKI Jakarta,2022,82.77
DKI Jakarta,2021,82.25
DKI Jakarta,2020,81.92
Gorontalo,2023,71.25
Gorontalo,2022,70.62
Gorontalo,2021,69.82
Gorontalo,2020,69.51
Jambi,2023,73.73
Jambi,2022,73.11
Jambi,2021,72.62
Jambi,2020,72.29
Jawa Barat,2023,74.24
Jawa Barat,2022,73.63
Jawa Barat,2021,72.96
Jawa Barat,2020,72.61
Jawa Tengah,2023,73.39
Jawa Tengah,2022,72.8
Jawa Tengah,2021,72.17
Jawa Tengah,2020,71.88
Jawa Timur,2023,74.65
Jawa Timur,2022,74.05
Jawa Timur,2021,73.48
Jawa Timur,2020,73.04
Kalimantan Barat,2023,70.47
Kalimantan Barat,2022,69.71
Kalimantan Barat,2021,68.99
Kalimantan Barat,2020,68.76
Kalimantan Selatan,2023,74.66
Kalimantan Selatan,2022,74
Kalimantan Selatan,2021,73.45
Kalimantan Selatan,2020,73.09
Kalimantan Tengah,2023,73.73
Kalimantan Tengah,2022,73.17
Kalimantan Tengah,2021,72.81
Kalimantan Tengah,2020,72.62
Kalimantan Timur,2023,78.2
Kalimantan Timur,2022,77.36
Kalimantan Timur,2021,76.6
Kalimantan Timur,2020,75.94
Kalimantan Utara,2023,72.88
Kalimantan Utara,2022,72.21
Kalimantan Utara,2021,71.57
Kalimantan Utara,2020,71
Kep. Bangka Belitung,2023,74.09
Kep. Bangka Belitung,2022,73.5
Kep. Bangka Belitung,2021,72.96
Kep. Bangka Belitung,2020,72.74
Kep. Riau,2023,79.08
Kep. Riau,2022,78.48
Kep. Riau,2021,77.87
Kep. Riau,2020,77.69
Lampung,2023,72.48
Lampung,2022,71.79
Lampung,2021,71.25
Lampung,2020,71.04
Maluku,2023,72.75
Maluku,2022,72.04
Maluku,2021,71.55
Maluku,2020,71.34
Maluku Utara,2023,70.98
Maluku Utara,2022,70.26
Maluku Utara,2021,69.56
Maluku Utara,2020,69.3
Nusa Tenggara Barat,2023,72.37
Nusa Tenggara Barat,2022,71.65
Nusa Tenggara Barat,2021,70.86
Nusa Tenggara Barat,2020,70.46
Nusa Tenggara Timur,2023,68.4
Nusa Tenggara Timur,2022,67.63
Nusa Tenggara Timur,2021,67.02
Nusa Tenggara Timur,2020,66.93
Papua,2023,63.01
Papua,2022,62.16
Papua,2021,61.4
Papua,2020,61.22
Papua Barat,2023,67.47
Papua Barat,2022,66.72
Papua Barat,2021,66.11
Papua Barat,2020,65.94
Papua Barat Daya,2023,
Papua Barat Daya,2022,
Papua Barat Daya,2021,
Papua Barat Daya,2020,
Papua Pegunungan,2023,
Papua Pegunungan,2022,
Papua Pegunungan,2021,
Papua Pegunungan,2020,
Papua Selatan,2023,
Papua Selatan,2022,
Papua Selatan,2021,
Papua Selatan,2020,
Papua Tengah,2023,
Papua Tengah,2022,
Papua Tengah,2021,
Papua Tengah,2020,
Riau,2023,74.95
Riau,2022,74.45
Riau,2021,73.89
Riau,2020,73.67
Sulawesi Barat,2023,69.8
Sulawesi Barat,2022,69.19
Sulawesi Barat,2021,68.64
Sulawesi Barat,2020,68.4
Sulawesi Selatan,2023,74.6
Sulawesi Selatan,2022,73.96
Sulawesi Selatan,2021,73.38
Sulawesi Selatan,2020,73.08
Sulawesi Tengah,2023,71.66
Sulawesi Tengah,2022,71.01
Sulawesi Tengah,2021,70.54
Sulawesi Tengah,2020,70.31
Sulawesi Tenggara,2023,72.94
Sulawesi Tenggara,2022,72.38
Sulawesi Tenggara,2021,71.82
Sulawesi Tenggara,2020,71.61
Sulawesi Utara,2023,75.04
Sulawesi Utara,2022,74.52
Sulawesi Utara,2021,74.03
Sulawesi Utara,2020,73.67
Sumatera Barat,2023,75.64
Sumatera Barat,2022,75.16
Sumatera Barat,2021,74.56
Sumatera Barat,2020,74.29
Sumatera Selatan,2023,73.18
Sumatera Selatan,2022,72.48
Sumatera Selatan,2021,71.83
Sumatera Selatan,2020,71.62
Sumatera Utara,2023,75.13
Sumatera Utara,2022,74.51
Sumatera Utara,2021,73.84
Sumatera Utara,2020,73.62
