Provinsi,Tahun,Persentase IPM,Persentase Rumah Tangga
Aceh,2023,74.7,86.46
Aceh,2022,74.11,79.85
Aceh,2021,73.48,75.54
Aceh,2020,73.29,71.97
Bali,2023,78.01,87.15
Bali,2022,77.4,91.21
Bali,2021,76.69,87.8
Bali,2020,76.52,85.67
Banten,2023,75.77,91.18
Banten,2022,75.25,91.11
Banten,2021,74.68,87.45
Banten,2020,74.41,84.07
Bengkulu,2023,74.3,88.82
Bengkulu,2022,73.68,86.43
Bengkulu,2021,73.16,78.03
Bengkulu,2020,72.93,71.69
DI Yogyakarta,2023,81.09,90.18
DI Yogyakarta,2022,80.65,89.03
DI Yogyakarta,2021,80.22,86.88
DI Yogyakarta,2020,79.95,85.83
DKI Jakarta,2023,83.55,98.08
DKI Jakarta,2022,82.77,95.39
DKI Jakarta,2021,82.25,95.44
DKI Jakarta,2020,81.92,93.24
Gorontalo,2023,71.25,87.93
Gorontalo,2022,70.62,85.52
Gorontalo,2021,69.82,80.89
Gorontalo,2020,69.51,76.98
Jambi,2023,73.73,89.52
Jambi,2022,73.11,87.34
Jambi,2021,72.62,80.91
Jambi,2020,72.29,75.56
Jawa Barat,2023,74.24,87.92
Jawa Barat,2022,73.63,87.57
Jawa Barat,2021,72.96,84.26
Jawa Barat,2020,72.61,82.18
Jawa Tengah,2023,73.39,85.61
Jawa Tengah,2022,72.8,88.24
Jawa Tengah,2021,72.17,82.88
Jawa Tengah,2020,71.88,79.66
Jawa Timur,2023,74.65,84.28
Jawa Timur,2022,74.05,85.11
Jawa Timur,2021,73.48,79.66
Jawa Timur,2020,73.04,77.21
Kalimantan Barat,2023,70.47,88.45
Kalimantan Barat,2022,69.71,84.74
Kalimantan Barat,2021,68.99,79.23
Kalimantan Barat,2020,68.76,70.44
Kalimantan Selatan,2023,74.66,88.45
Kalimantan Selatan,2022,74,87.21
Kalimantan Selatan,2021,73.45,83.11
Kalimantan Selatan,2020,73.09,78.64
Kalimantan Tengah,2023,73.73,88.27
Kalimantan Tengah,2022,73.17,84.76
Kalimantan Tengah,2021,72.81,80.27
Kalimantan Tengah,2020,72.62,76.57
Kalimantan Timur,2023,78.2,92.98
Kalimantan Timur,2022,77.36,93.06
Kalimantan Timur,2021,76.6,89.67
Kalimantan Timur,2020,75.94,86.87
Kalimantan Utara,2023,72.88,93.76
Kalimantan Utara,2022,72.21,94.27
Kalimantan Utara,2021,71.57,88.02
Kalimantan Utara,2020,71,86.58
Kep. Bangka Belitung,2023,74.09,91.16
Kep. Bangka Belitung,2022,73.5,89.81
Kep. Bangka Belitung,2021,72.96,82.89
Kep. Bangka Belitung,2020,72.74,78.35
Kep. Riau,2023,79.08,95.98
Kep. Riau,2022,78.48,95.26
Kep. Riau,2021,77.87,93.79
Kep. Riau,2020,77.69,91.15
Lampung,2023,72.48,88.88
Lampung,2022,71.79,87.9
Lampung,2021,71.25,83.49
Lampung,2020,71.04,74.09
Maluku,2023,72.75,82.56
Maluku,2022,72.04,82.36
Maluku,2021,71.55,76.89
Maluku,2020,71.34,65.86
Maluku Utara,2023,70.98,81.88
Maluku Utara,2022,70.26,77.8
Maluku Utara,2021,69.56,69.43
Maluku Utara,2020,69.3,62.39
Nusa Tenggara Barat,2023,72.37,81.79
Nusa Tenggara Barat,2022,71.65,79.77
Nusa Tenggara Barat,2021,70.86,73.61
Nusa Tenggara Barat,2020,70.46,69.51
Nusa Tenggara Timur,2023,68.4,78.88
Nusa Tenggara Timur,2022,67.63,74.23
Nusa Tenggara Timur,2021,67.02,68.45
Nusa Tenggara Timur,2020,66.93,56.87
Papua,2023,63.01,38.71
Papua,2022,62.16,35.14
Papua,2021,61.4,35.26
Papua,2020,61.22,35.25
Papua Barat,2023,67.47,82.05
Papua Barat,2022,66.72,78.32
Papua Barat,2021,66.11,74.08
Papua Barat,2020,65.94,72.62
Papua Barat Daya,2023,,
Papua Barat Daya,2022,,
Papua Barat Daya,2021,,
Papua Barat Daya,2020,,
Papua Pegunungan,2023,,
Papua Pegunungan,2022,,
Papua Pegunungan,2021,,
Papua Pegunungan,2020,,
Papua Selatan,2023,,
Papua Selatan,2022,,
Papua Selatan,2021,,
Papua Selatan,2020,,
Papua Tengah,2023,,
Papua Tengah,2022,,
Papua Tengah,2021,,
Papua Tengah,2020,,
Riau,2023,74.95,93.25
Riau,2022,74.45,91.01
Riau,2021,73.89,86.45
Riau,2020,73.67,80.61
Sulawesi Barat,2023,69.8,84.56
Sulawesi Barat,2022,69.19,82.09
Sulawesi Barat,2021,68.64,75.32
Sulawesi Barat,2020,68.4,66.03
Sulawesi Selatan,2023,74.6,89.52
Sulawesi Selatan,2022,73.96,88.33
Sulawesi Selatan,2021,73.38,82.36
Sulawesi Selatan,2020,73.08,77.23
Sulawesi Tengah,2023,71.66,84.61
Sulawesi Tengah,2022,71.01,82.23
Sulawesi Tengah,2021,70.54,76.51
Sulawesi Tengah,2020,70.31,68.7
Sulawesi Tenggara,2023,72.94,88.69
Sulawesi Tenggara,2022,72.38,87.6
Sulawesi Tenggara,2021,71.82,81.83
Sulawesi Tenggara,2020,71.61,75.87
Sulawesi Utara,2023,75.04,85.86
Sulawesi Utara,2022,74.52,83.54
Sulawesi Utara,2021,74.03,81.57
Sulawesi Utara,2020,73.67,78.5
Sumatera Barat,2023,75.64,89.92
Sumatera Barat,2022,75.16,87.52
Sumatera Barat,2021,74.56,82.29
Sumatera Barat,2020,74.29,74.62
Sumatera Selatan,2023,73.18,89.91
Sumatera Selatan,2022,72.48,85.79
Sumatera Selatan,2021,71.83,80.95
Sumatera Selatan,2020,71.62,74.85
Sumatera Utara,2023,75.13,89.66
Sumatera Utara,2022,74.51,86.61
Sumatera Utara,2021,73.84,81.1
Sumatera Utara,2020,73.62,74.12
